"target","id","scorec"
1,1,4
2,1,6
3,1,4
4,1,1
5,1,7
6,1,6
7,1,6
8,1,5
9,1,5
1,2,3
2,2,4
3,2,6
4,2,2
5,2,7
6,2,4
7,2,6
8,2,3
9,2,3
1,3,3
2,3,5
3,3,7
4,3,4
5,3,7
6,3,4
7,3,6
8,3,4
9,3,4
1,4,3
2,4,6
3,4,6
4,4,1
5,4,5
6,4,6
7,4,8
8,4,5
9,4,4
1,5,4
2,5,6
3,5,5
4,5,4
5,5,7
6,5,4
7,5,6
8,5,4
9,5,3
1,6,3
2,6,6
3,6,5
4,6,3
5,6,8
6,6,4
7,6,4
8,6,3
9,6,4
1,7,2
2,7,6
3,7,6
4,7,3
5,7,8
6,7,4
7,7,4
8,7,3
9,7,5
1,8,3
2,8,5
3,8,6
4,8,3
5,8,6
6,8,4
7,8,7
8,8,5
9,8,4
1,9,4
2,9,6
3,9,8
4,9,3
5,9,4
6,9,4
7,9,5
8,9,4
9,9,5
1,10,0
2,10,3
3,10,5
4,10,2
5,10,4
6,10,3
7,10,4
8,10,3
9,10,4
1,11,1
2,11,3
3,11,3
4,11,1
5,11,2
6,11,4
7,11,4
8,11,2
9,11,4
1,12,2
2,12,6
3,12,7
4,12,4
5,12,9
6,12,5
7,12,7
8,12,3
9,12,4
1,13,4
2,13,6
3,13,8
4,13,3
5,13,9
6,13,5
7,13,7
8,13,5
9,13,4
1,14,3
2,14,4
3,14,8
4,14,3
5,14,7
6,14,5
7,14,6
8,14,3
9,14,4
1,15,2
2,15,3
3,15,5
4,15,3
5,15,5
6,15,3
7,15,2
8,15,2
9,15,0
1,16,1
2,16,6
3,16,6
4,16,3
5,16,7
6,16,4
7,16,5
8,16,2
9,16,4
1,17,2
2,17,4
3,17,4
4,17,3
5,17,5
6,17,5
7,17,6
8,17,4
9,17,5
1,18,4
2,18,6
3,18,6
4,18,3
5,18,6
6,18,3
7,18,6
8,18,0
9,18,3
1,19,3
2,19,6
3,19,6
4,19,4
5,19,9
6,19,4
7,19,7
8,19,6
9,19,3
1,20,2
2,20,6
3,20,6
4,20,3
5,20,8
6,20,5
7,20,4
8,20,2
9,20,4
1,21,2
2,21,5
3,21,8
4,21,3
5,21,7
6,21,4
7,21,6
8,21,3
9,21,5
1,22,4
2,22,6
3,22,7
4,22,4
5,22,8
6,22,5
7,22,7
8,22,4
9,22,2
1,23,4
2,23,6
3,23,4
4,23,1
5,23,6
6,23,3
7,23,6
8,23,2
9,23,5
1,24,3
2,24,6
3,24,5
4,24,3
5,24,8
6,24,5
7,24,5
8,24,2
9,24,4
1,25,3
2,25,5
3,25,7
4,25,4
5,25,8
6,25,5
7,25,8
8,25,4
9,25,4
1,26,3
2,26,6
3,26,8
4,26,4
5,26,5
6,26,5
7,26,7
8,26,4
9,26,4
1,27,4
2,27,4
3,27,7
4,27,4
5,27,8
6,27,4
7,27,4
8,27,0
9,27,4
1,28,2
2,28,6
3,28,8
4,28,3
5,28,7
6,28,5
7,28,5
8,28,1
9,28,1
1,29,4
2,29,6
3,29,7
4,29,3
5,29,4
6,29,4
7,29,6
8,29,3
9,29,3
1,30,4
2,30,5
3,30,7
4,30,4
5,30,7
6,30,5
7,30,6
8,30,2
9,30,4
1,31,2
2,31,6
3,31,5
4,31,3
5,31,9
6,31,5
7,31,5
8,31,2
9,31,3
1,32,3
