"id","fiber.type","train.pre.pos","iso.fo","spec.fo"
5,1,0,0.265,83.5
5,1,0,0.518,132.8
5,2,0,0.491,161.1
5,1,0,0.718,158.8
5,2,0,0.16,117.9
5,1,0,0.41,87.8
5,1,0,0.371,140.5
5,1,0,0.792,197.7
5,2,0,0.649,200.5
5,1,0,0.604,156.7
5,1,0,0.668,127.1
5,1,0,0.525,150.2
5,2,0,0.724,143.1
5,1,0,0.291,102.1
5,2,0,0.357,141.7
5,2,0,0.513,126.9
5,1,0,0.37,91.7
5,1,0,0.648,162.2
5,2,0,0.4,129
5,1,1,0.943,94.1
5,2,1,0.94,103.2
5,1,1,1.146,177.4
5,1,1,1.008,135
5,1,1,0.853,119.2
5,2,1,0.691,163.2
5,2,1,0.612,193.9
5,1,1,0.637,133.1
5,1,1,0.766,152.4
5,1,1,0.793,121.1
5,1,1,0.436,97.6
5,1,1,0.451,123
5,1,1,0.448,142.7
5,2,1,0.604,131.5
5,1,1,0.777,113.1
5,1,1,0.516,119.9
5,1,1,0.24,86.7
5,1,1,0.87,153.8
5,1,1,0.638,147.8
5,1,1,0.896,162.5
5,1,1,0.743,120.4
5,1,1,0.851,139.4
10,1,0,0.705,124.4
10,2,0,0.413,106.4
10,1,0,0.755,133.6
10,1,0,0.592,104
10,1,0,0.743,148.1
10,1,0,0.861,150.4
10,1,0,0.937,154.1
10,1,0,0.769,132.9
10,2,0,0.955,185.3
10,1,0,0.505,127.1
10,2,0,0.588,168.7
10,1,0,0.765,121.4
10,2,0,0.335,85.4
10,1,0,0.577,155.1
10,1,0,0.773,137.7
10,1,0,0.866,154.9
10,2,0,1.048,182
10,1,0,0.938,157
10,2,0,1.268,191.2
10,1,0,0.506,135.9
10,1,0,0.56,173.1
10,1,0,0.728,139.3
10,2,1,0.236,123.5
10,2,1,0.979,173.6
10,1,1,0.947,172.5
10,2,1,0.778,187.1
10,1,1,0.989,189.4
10,1,1,0.709,157.3
10,2,1,0.485,127
10,2,1,0.72,170.9
10,2,1,0.518,168.7
10,2,1,0.744,202.7
10,2,1,0.437,152.3
10,2,1,0.648,193.4
10,2,1,0.725,195.6
10,2,1,1.04,275
10,2,1,0.761,192.7
10,2,1,0.621,122.1
10,1,1,0.851,193.5
10,1,1,0.688,144.7
10,2,1,0.853,257.3
10,1,1,0.623,163.7
10,1,1,0.65,152.4
15,1,0,0.85,136.8
15,1,0,1.212,170.9
15,2,0,0.981,200.9
15,2,0,1.252,229.8
15,1,0,0.63,165.8
15,2,0,0.301,101.1
15,2,0,0.884,125.6
15,2,0,0.615,192
15,2,0,0.718,153.6
15,2,0,0.874,192.4
15,2,0,1.075,205.4
15,2,0,1.246,238.6
15,2,0,0.89,129.7
15,2,0,1.053,155
15,1,0,0.805,164.5
15,2,0,1.221,181.2
15,2,0,0.92,156.3
15,2,0,1.157,154.2
15,2,0,0.992,190.9
15,2,0,0.769,146.9
15,2,0,1.16,184.4
15,2,0,0.68,141.8
15,2,0,0.651,165.6
15,1,0,0.734,150.2
15,2,0,0.904,160.5
15,2,1,0.503,153.2
15,2,1,0.658,164
15,1,1,1.119,234.3
15,2,1,0.836,180.1
15,1,1,0.974,177.5
15,1,1,1.112,180.4
15,2,1,0.719,166.6
15,2,1,0.659,128.7
15,1,1,0.893,158.5
15,2,1,0.661,223.8
15,2,1,0.756,211.5
15,2,1,0.706,149.4
15,1,1,0.847,191.5
15,2,1,0.761,124.4
15,2,1,0.772,160.2
15,1,1,0.898,177.1
15,1,1,0.917,207.1
15,2,1,0.584,171.6
15,2,1,0.912,176.3
15,2,1,0.612,150.4
15,2,1,0.762,193.4
15,2,1,1.065,229.6
15,1,1,0.417,140.3
20,2,0,1.188,209.4
20,2,0,0.948,204.4
20,2,0,0.984,213.3
20,2,0,0.627,174.5
20,1,0,1.282,205.9
20,1,0,0.908,174.9
20,1,0,1.255,134.1
20,2,0,0.994,197.6
20,2,0,1.18,236.6
20,1,0,1.51,166.7
20,2,0,0.992,206.8
20,1,0,0.853,178.9
20,1,0,1.079,184.4
20,2,0,1.202,233.7
20,1,0,1.79,212.5
20,2,0,0.851,195
20,1,0,1.021,166.1
20,1,0,1.427,188.3
20,1,0,0.816,164.5
20,1,0,1.279,182.2
20,2,0,0.78,234.1
20,2,1,0.984,149.5
20,2,1,0.879,151.3
20,1,1,1.296,143.1
20,2,1,1.024,171.3
20,1,1,1.267,100.1
20,2,1,0.871,187.4
20,2,1,1.227,164.9
20,2,1,0.898,171.7
20,1,1,0.797,138.7
20,1,1,0.628,107.3
20,2,1,0.788,123.3
20,1,1,0.758,155.2
20,1,1,1.007,126
20,1,1,0.688,158.9
20,1,1,1.118,205.4
20,1,1,1.317,159.9
20,2,1,0.84,131.5
20,2,1,1.119,164
20,2,1,1.076,184.6
20,1,1,0.894,150.1
25,2,0,0.949,161.9
25,2,0,0.982,186.3
25,2,0,1.041,180
25,1,0,0.935,194.1
25,1,0,1.163,195.3
25,1,0,1.272,242.1
25,2,0,0.823,167.7
25,2,0,0.835,201.4
25,1,0,1.083,156.5
25,1,0,1.052,175.4
25,2,0,1.028,200.3
25,2,0,1.11,211.6
25,2,0,0.718,164.2
25,2,0,0.854,219.8
25,2,0,0.934,184.4
25,2,0,0.728,181.6
25,2,0,1.147,274.7
25,1,0,1.002,189.3
25,2,0,0.754,170.5
25,2,0,1.139,190
25,2,0,1.001,190.3
25,2,1,1.409,205
25,2,1,1.229,173.2
25,1,1,0.921,151.2
25,1,1,1.042,185.1
25,2,1,1.453,258.6
25,1,1,1.337,176
25,2,1,1.008,182
25,1,1,0.771,162.1
25,1,1,1.208,265.6
25,2,1,1.145,230.5
25,1,1,1.044,178.7
25,1,1,0.961,153.8
25,2,1,1.352,225.5
25,1,1,1.289,177.7
25,2,1,1.133,172
25,1,1,1.104,163.2
25,1,1,0.391,167.9
25,1,1,1.11,165.8
25,2,1,1.255,177.6
25,1,1,1.121,185.9
25,1,1,1.05,230.7
25,2,1,1.118,158.2
25,2,1,1.488,171.2
35,2,0,0.921,168.6
35,1,0,0.734,103.6
35,1,0,0.712,242.6
35,2,0,0.624,149.3
35,1,0,0.465,141.1
35,2,0,0.899,120.9
35,1,0,1.073,174.9
35,1,0,0.738,140.1
35,2,0,1.05,133.9
35,1,0,0.745,173.7
35,1,0,1.285,195
35,2,0,0.704,130.3
35,1,0,0.947,105.5
35,2,0,1.366,166.2
35,2,0,0.801,131.9
35,2,0,1.32,186.8
35,1,0,0.644,122
35,1,0,0.928,146.3
35,2,0,0.93,142.7
35,1,0,0.762,113.1
